Date,Open,High,Low,Close,Adj Close,Volume
7/19/2018,27.83,27.83,27.83,27.83,24.219296,0
7/20/2018,27.82,27.82,27.82,27.82,24.210596,0
7/23/2018,27.879999,27.879999,27.879999,27.879999,24.262814,0
7/24/2018,28,28,28,28,24.367241,0
7/25/2018,28.25,28.25,28.25,28.25,24.584806,0
7/26/2018,28.139999,28.139999,28.139999,28.139999,24.489079,0
7/27/2018,27.969999,27.969999,27.969999,27.969999,24.341135,0
7/30/2018,27.76,27.76,27.76,27.76,24.158381,0
7/31/2018,27.91,27.91,27.91,27.91,24.288918,0
8/1/2018,27.870001,27.870001,27.870001,27.870001,24.254108,0
8/2/2018,28.01,28.01,28.01,28.01,24.375946,0
8/3/2018,28.01,28.01,28.01,28.01,24.375946,0
8/6/2018,28.200001,28.200001,28.200001,28.200001,24.541294,0
8/7/2018,28.280001,28.280001,28.280001,28.280001,24.610914,0
8/8/2018,28.27,28.27,28.27,28.27,24.602211,0
8/9/2018,28.25,28.25,28.25,28.25,24.584806,0
8/10/2018,28.030001,28.030001,28.030001,28.030001,24.393351,0
8/13/2018,27.93,27.93,27.93,27.93,24.306324,0
8/14/2018,28.1,28.1,28.1,28.1,24.454268,0
8/15/2018,27.889999,27.889999,27.889999,27.889999,24.271511,0
8/16/2018,28.129999,28.129999,28.129999,28.129999,24.480375,0
8/17/2018,28.219999,28.219999,28.219999,28.219999,24.558699,0
8/20/2018,28.290001,28.290001,28.290001,28.290001,24.619617,0
8/21/2018,28.34,28.34,28.34,28.34,24.663132,0
8/22/2018,28.33,28.33,28.33,28.33,24.654427,0
8/23/2018,28.27,28.27,28.27,28.27,24.602211,0
